year,mmsi,transmitter_no,raw_registered_gear_type,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas
2015,1000087128,87128,Purse Seine Big Pelagics with one boat,3602,88,0,30,0,2018.9000000007993,255.0583333336,0,0
2016,1000074058,74058,Longline Tuna,16222,257,250,146,146,5758.399999993699,1241.0583333318007,5653.616666660791,1241.0583333318007
2016,1031060941,31060941,Purse Seine Small Pelagics,1653,119,0,47,0,2119.6000000021,471.6500000004998,0,0
2016,1004451892,4451892,Basic longline,1104,36,0,15,0,632.3666666662,156.7499999997001,0,0
2014,1004956259,4956259,Squid hooking,7056,309,0,70,0,7005.691666666193,488.04999999990025,0,0
2015,1004626965,4626965,Oceanic gillnet,3395,175,0,104,0,3587.266666666498,1160.5833333327005,0,0
2016,1004545349,4545349,Squid hooking,9667,251,0,118,0,5791.541666718204,1234.2750000107003,0,0
2016,1004690575,4690575,Hand Line Tuna,5029,218,0,100,0,5030.041666666198,1081.308333333,0,0
2016,1004552026,4552026,Stick-Held lift net,6168,309,0,131,0,6691.0500000004995,1403.7583333321993,0,0
2014,1004785099,4785099,Stick-Held lift net,3549,211,0,41,0,4011.066666668498,393.3083333335001,0,0
2014,1004949247,4949247,Longline Tuna,4751,206,177,73,69,4496.241666665202,655.4166666665002,3921.8666666653016,621.0583333332
2015,1000065227,65227,Purse Seine Big Pelagics with one boat,8879,225,0,121,0,4582.9749999999,1335.7249999990013,0,0
2016,1000103123,103123,Purse Seine Big Pelagics with one boat,6738,157,0,80,0,3414.5416666676,813.7500000009999,0,0
2014,1000124265,124265,Purse Seine Small Pelagics,11146,275,0,120,0,6096.533333336205,949.8083333352004,0,0
2015,1004718855,4718855,Purse Seine Small Pelagics,2727,161,0,97,0,3166.6083333330976,1039.2000000005005,0,0
2015,1004567845,4567845,Purse Seine Small Pelagics,762,57,0,29,0,1066.1666666661004,337.9999999996999,0,0
2015,1004958954,4958954,Longline Tuna,2019,93,0,69,0,2038.2749999997998,936.6249999999001,0,0
2014,NA,86811707390,Basic longline,4744,202,0,110,0,4499.999999995399,1626.441666665001,0,0
2015,1004640341,4640341,Purse Seine Small Pelagics,3614,197,0,93,0,3920.491666668298,1031.1416666676007,0,0
2014,1000047717,47717,Purse Seine Big Pelagics with one boat,13907,331,155,245,126,7026.258333336201,2935.0416666665974,3604.375000001403,1508.9583333340013
2016,1000073982,73982,Longline Tuna,17180,316,305,222,221,7336.550000001694,2168.2500000029013,7099.533333335096,2159.875000002801
