year,mmsi,transmitter_no,shipname,raw_registered_gear_type,gfw_sub_gear,gfw_gear,length,tonnage,engine_power,positions,days,days_on_high_seas,fishing_days,fishing_days_on_high_seas,total_hours,total_fishing_hours,hours_on_high_seas,fishing_hours_on_high_seas,fraction_effort_on_high_seas,aux_engine_power,crew,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc
2016,1000074058,74058,NENGGALA - 01,Longline Tuna,drifting_longlines,drifting_longlines,26.88,152,423.06652949402655,16222,257,250,146,146,5758.399999993699,1241.0583333318007,5653.616666660791,1241.0583333318007,1,126.91995884820795,10,13.0727051473726,10.982594092363637,180,180,217
2014,1004949247,4949247,BAHARI - 6,Longline Tuna,drifting_longlines,drifting_longlines,26.28,107,477.2,4751,206,177,73,69,4496.241666665202,655.4166666665002,3921.8666666653016,621.0583333332,0.9475778766688231,143.16,11,13.0896375623832,11.04567939003536,180,180,217
2014,1000047717,47717,DANAU TOBA INDAH - V,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,27.24,164,313.2,13907,331,155,245,126,7026.258333336201,2935.0416666665974,3604.375000001403,1508.9583333340013,0.5141181982086694,93.96,12,13.0367427977184,10.85386621649296,180,180,217
2016,1000073982,73982,SUN RISE - III,Longline Tuna,drifting_longlines,drifting_longlines,25.67,134,313.2,17180,316,305,222,221,7336.550000001694,2168.2500000029013,7099.533333335096,2159.875000002801,0.9961374380260167,93.96,8,13.036123261550399,10.85386621649296,180,180,217
2014,1000049163,49163,PERMATA 02,Longline Tuna,drifting_longlines,drifting_longlines,22.43,106,303.0738062252576,17067,307,304,170,169,7099.966666673098,1456.6500000002982,7023.891666672995,1453.3250000002986,0.9977173651872454,90.92214186757728,7,13.032206327046408,10.841954862545773,220,220,217
2014,1000043943,43943,MUTIARA No. 22,Longline Tuna,drifting_longlines,drifting_longlines,23.78,108,337.54264373933506,17202,312,302,180,180,7105.825000007109,976.1916666669995,6986.116666673411,976.1916666669995,1,101.26279312180051,8,13.043612193905634,10.882467977704067,220,220,217
2014,1004961352,4961352,CHIU SHIH - 02,Longline Tuna,drifting_longlines,drifting_longlines,25.73,145,390.31113681701896,4001,194,164,65,62,4258.708333333596,520.2083333335004,3573.433333333497,501.70833333350026,0.9644373247897589,117.09334104510569,8,13.061766441344728,10.944312584955494,180,180,217
2016,1031085979,31085979,NA,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,23.29,118,313.2,1116,53,46,26,25,1089.7666666675009,334.9083333335999,953.5750000008003,319.90833333359984,0.9552116250715724,93.96,7,13.0357928422608,10.85386621649296,220,220,217
2014,1000116925,116925,TRI JAYA - 88,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,27.99,103,313.2,2741,66,44,28,28,1450.1416666661,331.4916666663004,934.6833333327993,331.4916666663004,1,93.96,14,13.035483074176799,10.85386621649296,180,180,217
2014,1000074066,74066,LUCKY HAPPY,Purse Seine Big Pelagics with one boat,purse_seines,purse_seines,23.65,138,334.1496367242622,2307,61,36,16,15,1148.1833333329996,127.25833333329999,766.6749999995995,126.25833333329999,0.9921419684369045,100.24489101727866,7,13.043111319233068,10.878484046873192,220,220,217
