year,type,mmsi,imo,call_sign,ship_name,sub_type,flag_state,length,tonnage,engine_power,crew,all_encounters,encounters_with_high_seas_vessels,encounters_in_the_high_seas,distinct_fishing_flags,fraction_with_high_seas_vessels,most_common_flag,aux_engine_power,design_speed_old,design_speed_ihs,main_sfc,main_sfc_low,aux_sfc,gap_hours,gap_days
2016,bunker,538005932,9208605,V7IF2,ANGEL 17,bunker,Marshall Islands,108.5,5373,3883,18,52,52,49,4,1,China,970.75,14.269755899622,14.561346226481,203,203,217,761.795,10
2016,bunker,529794000,9167710,T3QZ2,ANGEL 18,bunker,Kiribati,117.27,6332,3603,18,33,17,3,9,0.5151515151515151,Taiwan,900.75,14.192634794568,14.305984520161,203,203,217,86.29694444444445,2
2016,bunker,440265000,9213222,D7O,P PIONEER,bunker,South Korea,110,5160,2896.718,19.5,32,13,12,9,0.40625,Federated States of Micronesia,724.1795,13.95592368809904,13.635052394176299,260,203,217,0,0
2016,bunker,636014431,9382190,A8TU5,PAXOI,bunker,Liberia,102.7,3900,3581.53194666,18,30,28,28,3,0.9333333333333333,Spain,895.382986665,14.157494356066607,14.286156542983035,203,203,217,334.52694444444444,5
2016,bunker,529767000,8513405,T3PW2,GLORY NO. 2,bunker,Kiribati,119.4,5874,3400,18.5,30,18,8,8,0.6,Taiwan,850,14.1235876128,14.11707524,203,203,217,52.803333333333335,0
2015,bunker,636014431,9382190,A8TU5,PAXOI,bunker,Liberia,102.7,3900,3581.53194666,18,29,27,26,5,0.9310344827586207,China,895.382986665,14.157494356066607,14.286156542983035,203,203,217,242.50777777777776,6
2016,bunker,452976810,9101455,T3PX2,ANGEL 101,bunker,Kiribati,110,4999,2942,19,29,19,9,10,0.6551724137931034,China,735.5,13.968061736964,13.679219491556,203,203,217,26.41638888888889,0
2016,bunker,370178000,9150614,3EDS9,HAI GONG YOU 306,bunker,Panama,134.55,11375,6480,19,26,26,26,4,1,China,1620,15.11096343,16.6423873216,203,203,217,0,0
2016,bunker,373939000,9058593,3FCT,ANGEL 201,bunker,Panama,90,2030,2460.24783269,19,25,25,25,8,1,China,615.0619581725,13.771852705686511,13.201239384157699,203,203,217,0,0
2016,bunker,371596000,9031507,3EVX5,HAI GONG YOU 303,bunker,Panama,104,4989,3655.26666667,22,24,23,22,3,0.9583333333333334,China,913.8166666675,14.193547934154255,14.35410995368968,203,203,217,0,0
2016,bunker,529839000,9084695,T3SW2,ANGEL 29,bunker,Kiribati,123,5594,2426,18.5,23,23,23,4,1,China,606.5,13.813695137352,13.166579852803999,203,203,217,0,0
