code,description
PS,Purse seines
LA,Lampara nets
SB,Beach seines
SDN,Danish seines
SSC,Scottish seines
SPR,Pair seines
TBB,Beam trawl
OTB,Bottom otter trawl
PTB,Bottom pair trawl
OTM,Midwater otter trawl
PTM,Pelagic pair trawl
OTT,Otter twin trawl
DRB,Boat dredges
DRH,Hand dredges
HMD,Mechanised dredges including suction dredges
LNB,Boat-operated lift nets
LNS,Shore-operated stationary lift nets
GNS,Set gillnets (anchored)
GND,Driftnets
GNC,Encircling gillnets
GTR,Trammel nets
GTN,Combined gillnets-trammel nets
FPO,Pots
LHP,Handlines and pole-lines (hand-operated)
LHM,Handlines and pole-lines (mechanised)
LLS,Set longlines
LLD,Drifting longlines
LTL,Troll lines
NK,
NO,
FPN,Stationary uncovered pound nets
FYK,Fyke nets
SV,Beach and boat seine
MIS,Miscellaneous Gear
HAR,Harpoons
