transmitter_no,shipname,a_raw_registered_gear_type,Engine Power,Company,Engine Brand
41004,AGUNG MAKMUR -28,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
41016,SUMBER JAYA,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
41813,MINA SAMUDERA,Longline Tuna,300,NJO MONIKA,NISSAN
42825,LAUT SUBUR -7,Purse Seine Big Pelagics with one boat,600,PAHALA SAMUDERA FISHERY INDUSTRIES,CUMMINS
42829,KAKAP MINA UTAMA,Longline Tuna,350,BUYUNG,NISSAN
43930,PATRIOT,Purse Seine Small Pelagics,350,JULIANTI DEWI,NISSAN
43936,PERMATA 188,Longline Tuna,#N/A,#N/A,#N/A
43943,MUTIARA No. 22,Longline Tuna,#N/A,#N/A,#N/A
43945,MUTIARA No. 38,Longline Tuna,#N/A,#N/A,#N/A
44273,HIROYOSHI 06,Transporter,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI -6,Transporter,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI -6,Longline Tuna,420,INTIMAS SURYA,NISSAN
44273,HIROYOSHI 06,Longline Tuna,420,INTIMAS SURYA,NISSAN
47717,DANAU TOBA INDAH -V,Purse Seine Big Pelagics with one boat,420,ANDREAS SULYSTIO,NISSAN
47719,SINAR JAYA,Purse Seine Big Pelagics with one boat,370,YENNY SULYSTIO,NISSAN
52548,CHARLY TUNA WIJAYA -11,Longline Tuna,545,PERMATA MARINDO JAYA,MITSUBISHI
52549,JIMMY WIJAYA -12,Longline Tuna,370,SURYA LUNG,NISSAN
52574,LAUT SUBUR -5,Purse Seine Big Pelagics with one boat,370,PAHALA SAMUDERA FISHERY INDUSTRIES,NISSAN
52597,INDAH JAYA MAKMUR -9,Purse Seine Big Pelagics with one boat,370,YAP WIE HAN,NISSAN
55269,INDAH KAIL,Purse Seine Big Pelagics with one boat,370,MARHALIM,NISSAN
55271,NAILI - 17,Longline Tuna,#N/A,#N/A,#N/A
56066,STARINDO JAYA MAJU I,Longline Tuna,280,HENDRA,NISSAN
56067,UNITED -XXII,Longline Tuna,#N/A,#N/A,#N/A
56676,UNION JAYA -I,Transporter,#N/A,#N/A,#N/A
58307,PERMATA  -318,Longline Tuna,#N/A,#N/A,#N/A
59623,HIROYOSHI -7,Transporter,350,FARIDA,NISSAN
59623,HIROYOSHI -7,Longline Tuna,350,FARIDA,NISSAN
63309,MITRA BAHARI,Longline Tuna,300,CUN GIE,MITSUBISHI
65135,MINA ANUGRAH -18,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
65139,SINAR MINA PERKASA -2,Transporter,#N/A,#N/A,#N/A
65143,BINTANG SUMBER MAS -B,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
65145,NUSANTARA JAYA,Purse Seine Big Pelagics with one boat,420,TJIA SUI JONG,NISSAN
65163,NUSANTARA INDAH -VIII,Purse Seine Big Pelagics with one boat,420,EDY SYAHPUTRA,NISSAN
65165,SURYA MINA,Purse Seine Big Pelagics with one boat,#N/A,#N/A,#N/A
65166,SUMBER JAYA  B,Purse Seine Big Pelagics with one boat,420,BINTANG HARAPAN JAYA,NISSAN
65222,SUMBER JAYA -V,Purse Seine Small Pelagics,#N/A,#N/A,#N/A
65237,BINTANG SUMBER HASIL -B,Purse Seine Big Pelagics with one boat,350,BINTANG HARAPAN JAYA,NISSAN
65239,BINTANG REJEKI -A,Purse Seine Small Pelagics,350,BINTANG HARAPAN JAYA,NISSAN
65240,UNITED -XV,Longline Tuna,370,UNIVERSAL SAMUDERA SUKSES,NISSAN
65241,UNITED -XXIII,Longline Tuna,#N/A,#N/A,#N/A
65243,UNITED -XI,Longline Tuna,370,UNIVERSAL SAMUDERA SUKSES,NISSAN
65244,UNITED -XIX,Longline Tuna,#N/A,#N/A,#N/A
65267,SINAR MINA PERKASA -I,Transporter,420,MARKUS JUSTIO,NISSAN
68969,LANGSUNG JAYA ANUGRAH,Longline Tuna,370,MANDIRI JAYA SAMUDRA,NISSAN
68992,SUMBER JAYA -1A,Purse Seine Small Pelagics,420,SUMBER JAYA WISESA,NISSAN
68992,SUMBER JAYA -1A,Purse Seine Big Pelagics with one boat,420,SUMBER JAYA WISESA,NISSAN
70035,BINTANG ARINDO UTAMA,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
73601,JIMMY WIJAYA 3,Transporter,#N/A,#N/A,#N/A
73605,SINAR ARINDO -79,Purse Seine Big Pelagics with one boat,370,SINAR ARINDO SEMESTA,NISSAN
73607,JIMMY WIJAYA -17,Longline Tuna,#N/A,#N/A,#N/A
73607,CHARLY TUNA WIJAYA  -10,Longline Tuna,#N/A,#N/A,#N/A
