Transmitter No,Name,
40409568,5331,
40408055,5335,
40408229,5479,
40408338,5775,
40408230,5853,
40409597,6026,
40409598,6027,
40408831,6376,
40408809,6496,
54742,54742,
56387,56387,
56635,56635,
6524154321,65241,
70002,70002,
7003554321,70035,
73617,73617,
73629,73629,
73640,73640,
73754,73754,
73980,73980,
81483,81483,
81536,81536,
81668,81668,
81674,81674,
81697,81697,
99432,99432,
99513,99513,
99561,99561,
110033,110033,
124925,124925,
125082,125082,
125286,125286,
125290,125290,
125334,125334,
125367,125367,
125452,125452,
125532,125532,
125537,125537,
133575,133575,
14030554321,140305,
140346,140346,
140422,140422,
140427,140427,
140448,140448,
140473,140473,
140494,140494,
140496,140496,
140505,140505,
140607,140607,
140636,140636,
141222,141222,
141224,141224,
141227,141227,
14123154321,141231,
141233,141233,
1046537,1046537,
1065266,1065266,
1065280,1065280,
1098194,1098194,
1098199,1098199,
4464757,4464757,
4468791,4468791,
4468794,4468794,
4468795,4468795,
4469152,4469152,
4.47E+11,4469798,
4470382,4470382,
4471496,4471496,
4471505,4471505,
4471506,4471506,
4473341,4473341,
4473479,4473479,
4473598,4473598,
4474744,4474744,MV
4474922,4474922,
4475348,4475348,
4477159,4477159,
4477160,4477160,
4477162,4477162,
4477510,4477510,
4477936,4477936,
4477942,4477942,
4477943,4477943,
4478984,4478984,
4479149,4479149,
4479151,4479151,
4.48E+11,4479338,
4479339,4479339,
4479340,4479340,
4479400,4479400,
4479568,4479568,
4479783,4479783,
4480115,4480115,
4480558,4480558,
4480609,4480609,
4481788,4481788,
4481789,4481789,
4481790,4481790,
4481835,4481835,
4485368,4485368,
4487791,4487791,
4487797,4487797,
4488874,4488874,
4489139,4489139,
4489866,4489866,
4491018,4491018,
4493112,4493112,
4493114,4493114,
4493660,4493660,
4494657,4494657,
4494658,4494658,
4499038,4499038,
4499040,4499040,
4499777,4499777,
4500440,4500440,
4502184,4502184,
4502186,4502186,
4502187,4502187,
4507477,4507477,
4509087,4509087,
4509225,4509225,
4509422,4509422,
4509463,4509463,
4509488,4509488,
4510139,4510139,
4512034,4512034,
4512142,4512142,
4514749,4514749,
4515074,4515074,
4517230,4517230,
4517231,4517231,
