transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
33423,33423,7/8/2015 0:00:00,7/7/2016 0:00:00,Stick-Held lift net,23.81,5.75,381,2/4/2014 5:18:00,6/2/2014 8:22:00,711
33659,33659,10/25/2015 0:00:00,10/24/2016 0:00:00,Purse Seine Small Pelagics,23.63,7.65,166,1/1/2014 7:30:00,1/8/2014 11:08:00,"712, 713"
33733,33733,9/2/2014 0:00:00,9/1/2015 0:00:00,Longline Tuna,21.52,6.28,28,2/20/2014 12:00:00,2/28/2014 9:22:00,573
35215,35215,4/24/2015 0:00:00,4/23/2016 0:00:00,Transporter,16.2,4.5,105,3/6/2014 4:51:00,4/1/2014 22:10:00,
35287,35287,2/17/2016 0:00:00,2/16/2017 0:00:00,Longline Tuna,18.86,6.86,4018,1/12/2014 4:20:00,5/19/2014 3:05:00,573
35303,35303,8/12/2014 0:00:00,8/11/2015 0:00:00,Shrimp net,22.56,7.79,15,2/15/2014 13:29:00,2/16/2014 12:04:00,718
35330,35330,6/8/2014 0:00:00,6/7/2015 0:00:00,Longline Tuna,23.76,5.84,212,2/7/2014 16:18:00,5/5/2014 17:51:00,573
40539,40539,5/31/2016 0:00:00,5/30/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.49,8.51,9136,3/29/2014 8:53:00,4/26/2015 18:08:00,
40540,NUTRISEA,1/22/2017 0:00:00,1/21/2018 0:00:00,Transporter,23.9,8,9218,10/24/2016 0:00:00,6/20/2017 23:30:00,
40545,KASIH UTAMA,11/30/2016 0:00:00,11/29/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.72,7.75,10405,8/12/2016 0:46:00,6/20/2017 23:45:00,"572, 573"
40807,SURYA SAMUDERA CIPTA MUSTIKA - 68,6/16/2017 0:00:00,6/15/2018 0:00:00,Oceanic gillnet,27.07,8.8,70,6/19/2017 7:21:00,6/20/2017 23:17:00,718
40876,40876,5/22/2015 0:00:00,5/21/2016 0:00:00,Longline Tuna,23.98,6.45,2155,7/8/2014 3:12:00,5/19/2016 10:44:00,"572, 573"
41001,BINTANG KASIH MAKMUR,4/4/2016 0:00:00,4/3/2017 0:00:00,Purse Seine Big Pelagics with one boat,22.1,7.9,7182,1/17/2016 2:31:00,9/13/2016 3:07:00,"572, 573"
41002,KASIH SETIA - VII,11/3/2016 0:00:00,11/2/2017 0:00:00,Purse Seine Big Pelagics with one boat,26.46,7.47,10434,10/24/2016 0:00:00,6/20/2017 23:21:00,"573, 572"
41003,41003,11/12/2015 0:00:00,11/11/2016 0:00:00,Purse Seine Small Pelagics,25.54,7.73,11096,1/26/2014 8:28:00,9/24/2015 13:00:00,"572, 573"
41003,HARAPAN MAJU SATU,11/12/2015 0:00:00,11/11/2016 0:00:00,Purse Seine Big Pelagics with one boat,25.54,7.73,13290,1/27/2016 0:00:00,11/21/2016 11:26:00,"572, 573"
41004,AGUNG MAKMUR - 28,1/2/2016 0:00:00,1/1/2017 0:00:00,Purse Seine Big Pelagics with one boat,25.86,7.04,28228,1/1/2014 0:55:00,4/17/2017 8:00:00,"572, 573"
41005,PUTRA NUSANTARA SAKTI,4/6/2016 0:00:00,4/5/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.4,7.5,26307,2/7/2014 14:34:00,5/18/2017 7:07:00,"713, 712,713, 712"
41016,SUMBER JAYA,11/9/2016 0:00:00,11/8/2017 0:00:00,Purse Seine Big Pelagics with one boat,27.61,8,12070,8/12/2016 0:51:00,6/20/2017 23:45:00,"572, 573"
41808,41808,10/23/2014 0:00:00,10/22/2015 0:00:00,Longline Tuna,18.4,4.42,785,3/4/2014 2:00:00,11/24/2014 3:41:00,717
41813,MINA SAMUDERA,10/25/2016 0:00:00,10/24/2017 0:00:00,Longline Tuna,19.4,6.4,4726,11/17/2016 6:32:00,6/20/2017 23:40:00,"572, 573"
41912,41912,5/23/2015 0:00:00,5/22/2016 0:00:00,Purse Seine Small Pelagics,23.6,6.55,22733,1/1/2014 0:08:00,8/8/2015 1:34:00,"713, 712"
