list_uvi,imo_registry,previous_name,yr_name_chng,call_sign,port_regist,flag,rs_cl_notation,oth_notation,type,subtype,date_build,country_build,GT,tonnage,deadweight,displacement,length_overall,rule_length,beam,mld_breadth,height,draught,speed,type_power,engine,nb_pwr_motor,nb_typ_proplr,nb_blade,nb_pwr_generator,nb_boiler,typ_boiler,pressure,heating_surf,owner,ship_name,fishing_gear,engine_power
851851,8721052,,,UGAZ,Petropavlovsk-Kamchatsky,Russia,KM(*) L2[1] AUT2 REF fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",12.05.1987,USSR,4407,1322,181,5720,104.0,96.0,16.0,16.0,10.0,5.0,16.1,Diesel,"Built ME: 1985
Country Construction: USSR
The number and power of ME: 2*2574
Mark ME: 6CHN 40/46",,1 - Controllable pitch propeller,4,2*1600 3*160,0,,0.0,0,"JSC ""Okeanrybflot"" (public type)
Address:Russia, 683003 Petropavlovsk-Kamchatskiy, ul. Leningradskaya, 27
IMO:1529237
Email:telegraf@bor.kamchatka.ru, flot@bor.kamchatka.ru
Company Website:",SYEZDVLKSM20,[Trawler],5148.0
841686,8721040,,,UGPK,Petropavlovsk-Kamchatsky,Russia,KM(*) L2[1] AUT2 REF fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",27.11.1985,USSR,4407,1322,181,5720,104.0,96.0,16.0,16.0,10.0,5.0,16.1,Diesel,"Built ME: 1984
Country Construction: USSR
The number and power of ME: 2*2574
Mark ME: 6CHN 40/46",,1 - Controllable pitch propeller,4,2*1600 3*160,0,,0.0,0,"JSC ""Okeanrybflot"" (public type)
Address:Russia, 683003 Petropavlovsk-Kamchatskiy, ul. Leningradskaya, 27
IMO:1529237
Email:telegraf@bor.kamchatka.ru, flot@bor.kamchatka.ru
Company Website:",SYEZDKPSS27,[Trawler],5148.0
60228,9398357,,,UGXZ,Petropavlovsk-Kamchatsky,Russia,KM* Ice3 fishing vessel,,Fishing,Trawler,23.10.2006,China,168,50,7,287,27.0,24.4,7.0,6.9,3.0,2.4,10.0,Diesel,"Built ME: 2011
Country Construction: China
The number and power of ME: 1*373
Mark ME: KTA 19M",,1 - Fixed pitched solid propeller,4,2*120 1*50,0,,0.0,0,"FISH PROCESSING PLANT SOCRA
Address:Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A
IMO:
Email:sokracom@mail.ru
Company Website:",AVANGARD,[Trawler],373.0
887336,8918643,????????,2016.0,UHMM,Petropavlovsk-Kamchatsky,Russia,KM* fishing vessel,,Fishing,"Trawler, Refrigerated cargo machinery",01.02.1989,Norway,1195,358,71,1881,53.0,45.1,12.0,12.0,6.0,5.0,11.0,Diesel,"Built ME: 1989
Country Construction: Finland
The number and power of ME: 1*1980
Mark ME: 6L 28B",,1 - Controllable pitch propeller,4,1*1200 2*400,0,,0.0,0,"POLARIS CO., LTD
Address:Russia, 683000 Petropavlovsk-Kamchatskiy, ul. Sovetskaya 16, of.5
IMO:5585675
Email:info@fishpolaris.ru
Company Website:www.fishpolaris.ru",AVACHA,[Trawler],1980.0
931238,9261293,,,UBVE,Murmansk,Russia,KM(*) L4 R1 fishing vessel,,Fishing,"Stern Trawler, Pair trawler",25.09.2001,Russia,117,35,5,195,25.0,22.0,7.0,6.0,3.0,2.5,10.0,Diesel,"Built ME: 1990
Country Construction: German Democratic Republic
The number and power of ME: 1*220
Mark ME: 6NVD 26A-2",,1 - Fixed pitched solid propeller,4,1*16 1*30,0,,0.0,0,"TETIS, LTD
Address:Russia, 183010 Murmansk, pr.Kirova, 32/1
IMO:
Email:
Company Website:",AGAT,[Trawler],220.0
912595,9076208,?????,2013.0,UEUS,Vladivostok,Russia,KM(*) L2[1] AUT2 (REF) fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Potting, Fish processing",16.02.1993,USSR,4407,1322,181,5720,104.0,96.0,16.0,16.0,10.0,5.0,16.1,Diesel,"Built ME: 1991
Country Construction: USSR
The number and power of ME: 2*2576
Mark ME: 6CHN 40/46 OM4",,1 - Controllable pitch propeller,4,2*1600 3*200,0,,0.0,0,"SOFCO CO LTD
Address:Russia, 690002 Vladivostok, ul. 2-ya Krugovaya, d. 12, of.230
IMO:1729205
Email:sigma-m-tech@mail.ru; mail@sigma-m-tech.ru; sofco@inbox.ru
Company Website:",ADMIRALKOLCHAK,[Trawler],5152.0
906147,9031002,?????? ???? ? 5,2007.0,UHVI,Petropavlovsk-Kamchatsky,Russia,(KM)* fishing vessel,,Fishing,Crab,02.07.1990,Japan,669,282,46,991,56.3,49.0,9.0,8.0,3.0,3.4,13.0,Diesel,"Built ME: 1990
Country Construction: Japan
The number and power of ME: 1*735
Mark ME: LH28L",,1 - Controllable pitch propeller,4,2*320,0,,0.0,0,"RUSSIAN FEDERATION
Address:Russia, Moscow
IMO:1253128
Email:
Company Website:",ADONIS,[Others],735.0
674715,6808674,KVITNES,1999.0,UEMQ,Bolshoy port of St.-Petersburg,Russia,KM* fishing vessel,,Fishing,"Refrigerated cargo machinery, Long line",26.10.1967,Norway,466,139,18,637,39.0,34.2,7.9,7.0,6.2,3.8,10.0,Diesel,"Built ME: 1984
Country Construction: Denmark
The number and power of ME: 1*570
Mark ME: 5T23L-KVO",,1 - Controllable pitch propeller,4,2*160,0,,0.0,0,"OKEANPROM LTD CO
Address:Russia, 195027 St.Petersburg, pr.Metallistov, 3, pom.1-N
IMO:
Email:info@oceanprom.net
Company Website:",AZURIT,[Longline],570.0
920661,9077745,?????? ?????,2010.0,UCFG,Nevelsk,Russia,KM(*) L2 fishing vessel,,Fishing,"Stern Trawler, Refrigerated cargo machinery, Seiner, Purse net",25.12.1992,Russia,854,256,26,1228,53.7,47.9,10.7,10.0,6.0,4.0,12.7,Diesel,"Built ME: 1991
Country Construction: Germany
The number and power of ME: 1*970
Mark ME: 8NVD 48A-2U",,1 - Controllable pitch propeller,3,1*300 3*160,0,,0.0,0,"Moneron Co., Ltd
Address:Russia, 693007 Yuzhno-Sakhalinsk, ul. Chekhova, d. 71
IMO:
Email:moneron-65@mail.ru
Company Website:",AYDAR,"[Trawler, Seiner]",970.0
887868,9520390,CHENG HUI NO.1,2014.0,UBTK,Korsakov,Russia,(KM)* fishing vessel,,Fishing,Crab,31.01.1989,Taiwan,784,333,45,1332,60.0,53.0,9.3,9.3,4.3,4.0,11.0,Diesel,"Built ME: 1988
Country Construction: Japan
The number and power of ME: 1*1030
Mark ME: LH28RG",,1 - Fixed pitched solid propeller,4,2*360,0,,0.0,0,"DELTA Co., Ltd
Address:Russia, 694740 Sakhalinskaya obl, Nevelskiy r-n, Nevelsk g, Beregovaya ul, dom ? 28
IMO:
Email:flotmarin@gmail.com
Company Website:",ICEBERG,[Others],1030.0
877014,8616221,ORCADES VIKING,2007.0,UBME3,Murmansk,Russia,KM* fishing vessel,,Fishing,"Stern Trawler, Trawler, Refrigerated cargo machinery",30.09.1991,Faeroe Islands,2370,823,113,3445,73.4,65.0,13.0,13.0,7.9,5.0,15.0,Diesel,"Built ME: 2002
Country Construction: Finland
The number and power of ME: 1*3690
Mark ME: 9R321NE",,1 - Controllable pitch propeller,4,2*500,0,,0.0,0,"""KARAT-1"", JOINT STOCK COMPANY
Address:Russia, 183038 Murmansk, ulitsa Shmidta, 43, office 521
IMO:
Email:mss@rp-invest.com, ik@karat-group.com
Company Website:",AQUAMARINE,[Trawler],3690.0
