fishing_season,vessel_name,flag_country_name,callsign,imo_number,crew_count,length_m,gross_tonnage_t,engine_power_kW,fishing_method,owner,port_of_registry,class
2013-2014,Antarctic Chieftain,Australia,VJT 6415,9262833,24,62.8,1136,1600,Auto Longline (Mustad),Antarctic Longline Ltd,Fremantle,longline
2013-2014,Austral Leader II,Australia,VHLU,7382770,30,59.8,1045,1760,Longline and pot,Austral Fisheries Pty Ltd,,longline
2013-2014,Isla Eden,Australia,VJN4147,9111694,30,49.9,1362,1200,Longline. Also licensed to use pots.,Austral Fisheries Pty Ltd,Fremantle,longline
2013-2014,Southern Champion ,Australia,VHGI,7351147,33,87.19,1696,3134,Trawl,Austral Fisheries Pty Ltd,Fremantle,trawler
2013-2014,Antarctic Bay,Chile,CB 9738,9092240,44,51,985,1029,Longline,Antarctic Sea Fisheries S.A.,Valparaiso,longline
2013-2014,Betanzos,Chile,CBTZ,7310923,61,64.56,1438.07,1998,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2013-2014,Betanzos,Chile,CBTZ,7310923,61,64.56,1438.07,1998,Trawl,Antarctic Sea Fisheries S.A.,Valparaiso,trawler
2013-2014,Cabo de Hornos,Chile,CB 7960,7404372,80,80,2140,1912,Trawl,Pesca Chile S.A.,Valparaiso,trawler
2013-2014,Diego Ramirez,Chile,CB 9258,7336460,80,72.84,1758,1864,Trawl,Pesca Chile S.A.,Valparaiso,trawler
2013-2014,Diego Ramirez,Chile,CB 9258,7336460,80,72.84,1758,1864,Trawl,Pesca Chile S.A.,Valparaiso,trawler
2013-2014,Fu Rong Hai,China,BAOC,7238113,100,110,5306,4189.5,Conventional pelagic trawl,Liaoning Pelagic Fisheries Co. Ltd,Dalian,trawler
2013-2014,Kai Li,China,BIWV,8607244,96,120.7,7847,5296,Conventional pelagic trawl,Shanghai Kaichuang Deep Sea Fisheries Co. Ltd,Shanghai,trawler
2013-2014,Kai Yu,China,BIWU,8907072,101,105,7671,5920,Conventional pelagic trawl,Shanghai Kaichuang Deep Sea Fisheries Co. Ltd,Shanghai,trawler
2013-2014,Long Teng,China,BZZQ6,8607373,130,120.7,7765,5196,Pelagic trawl,China National Fisheries Corporation,Qinhuangdao,trawler
2013-2014,Saint Andre,France,FNTD,9511181,28,56.4,731,2800,Bottom autoline,SNC Saint Andre,,longline
2013-2014,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2013-2014,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2013-2014,Shinsei Maru No. 3,Japan,JAAL,8520094,39,47.2,735,735,Bottom longline,Taiyo A & F Co. Ltd,Yaizu,longline
2013-2014,Hong Jin No. 701,"Korea, Republic of",6KSN,9012355,42,53.4,400,1029,Bottom longline,Hongjin Corporation,Busan,longline
2013-2014,Hong Jin No. 707,"Korea, Republic of",DTBT2,8608822,42,49.61,587,1119,Bottom longline,Hongjin Corporation,Busan,longline
2013-2014,Insung Ho,"Korea, Republic of",6LZT,7042538,99,95.6,2999.12,2834,Midwater Trawl,Insung Corporation,Busan,trawler
2013-2014,Kostar,"Korea, Republic of",6KCB6,9202687,43,47.11,862,930,Bottom Longline,Sunwoo Corporation,Busan,longline
2013-2014,Kwang Ja Ho,"Korea, Republic of",DTBP9,8505977,96,93.5,3012,3601,Midwater trawl,Insung Corporation,Busan,trawler
2013-2014,Sejong,"Korea, Republic of",DTBX8,8607385,120,110.22,7765,6000,Trawl,Dongwon Industries Co. Ltd.,Busan,trawler
2013-2014,Sunstar,"Korea, Republic of",6KCB,8978071,40,51.91,628,1201,Bottom Longline,Sunwoo Corporation,Busan,longline
2013-2014,Antarctic Chieftain,New Zealand,ZMA 6800,9262833,22,62.8,1136,1177,Integrated weight bottom longline (IWL),Antarctic Longline Ltd,Nelson,longline
2013-2014,Janas,New Zealand,ZMTW,9057109,20,46.5,1079,780,Bottom longline,New Zealand Longline Ltd,,longline
2013-2014,San Aotea II,New Zealand,ZM2534,9057111,25,46.5,1079,802,Demersal autoline,Sanford Limited,Auckland,longline
2013-2014,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2013-2014,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2013-2014,San Aspiring,New Zealand,ZMGO,9226528,25,51.2,1508,1730,Demersal longline,Sanford Limited,Auckland,longline
2013-2014,Antarctic Sea,Norway,LAWR,9160358,50,133.88,9432,3960,Continuous trawling (Eco-Harvesting),Aker BioMarine Antarctic II AS,Svolvaer,trawler
2013-2014,Juvel,Norway,LAZH,9256664,50,99.5,5500,6000,Midwater trawl,Emerald Fisheries AS,Alesund,trawler
2013-2014,Saga Sea,Norway,LNSK,7390416,59,92,4861,4500,Continuous trawl (Eco-Harvesting),Aker BioMarine Antarctic AS,Svolvaer,trawler
2013-2014,Seljevaer,Norway,LKYA,9188960,25,54.58,1155,1200,Bottom autoline,Stadt Havfiske AS,Maloy,longline
2013-2014,Alina,Poland,SNLO,8907137,86,105,7681,5920,Conventional trawl,Samherji Iceland ehf,Gdynia,trawler
2013-2014,Saga,Poland,SNIC,8607191,88,120.42,7765,5296,Conventional trawl,Saga Seafood Ltd,Gdynia,trawler
2013-2014,Mys Marii,Russian Federation,UIBA,9009918,30,49.56,743,712,Bottom longline,LLC Transit DV,,longline
2013-2014,Palmer,Russian Federation,UBJH2,9083005,27,49.9,1137.27,1620,Bottom longline - automatic system,LLC Southern Cross,Petropavlovsk-Kamchatskiy,longline
2013-2014,Sparta,Russian Federation,UIBS,8809361,30,48.07,743,1026,Bottom longline,Antey Co. Ltd,Sovetskaya Gavan,longline
2013-2014,Ugulan,Russian Federation,UDFE,8804074,31,48,642,736,Bottom longline,Antey Co. Ltd,Nevelsk,longline
2013-2014,Yantar 31,Russian Federation,UBWE5,8916803,32,49.6,788,882,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2013-2014,Yantar 35,Russian Federation,UBHI8,9261504,,58.2,660,1103,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2013-2014,Yantar 35,Russian Federation,UBHI8,9261504,,58.2,660,1103,Bottom longline,Orion Co. Ltd,Sovetskaya Gavan,longline
2013-2014,El Shaddai,South Africa,ZR6358,8025082,37,45.85,635.9,955,Longline,Braxton Security Services CC,Durban,longline
2013-2014,Koryo Maru No. 11,South Africa,ZR 7955,8603896,39,57.07,1119.9,998,Longline,Tafisa (Pty) Ltd,Cape Town,longline
2013-2014,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Arnela S.L.,,longline
2013-2014,Tronio,Spain,ECJF,9361603,40,55,1058,1378.7,Spanish longline,Pesquerias Arnela S.L.,,longline
2013-2014,More Sodruzhestva,Ukraine,UYDV,8724315,110,130.1,6394,5252,Conventional mid water trawl,Interpromflot Ltd,,trawler
2013-2014,Poseydon I,Ukraine,UUAW7,9447110,36,50.3,805,852,"Bottom longline, Trotline",Fishery Technology Inc.,,longline
2013-2014,Simeiz,Ukraine,URBX,9247912,40,55.46,871,1176,"Longline, Trotline",LLC Fishing Company Proteus,Sevastopol,longline
2013-2014,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Froyanes,United Kingdom,ZHHL,9249398,25,52.55,1352,1400,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,Argos Georgia,United Kingdom,ZHHJ,9171319,25,46.58,897,1119,Bottom autoline,Froyanes AS,Jamestown,longline
2013-2014,New Polar,United Kingdom,ZDLF2,8704779,58,74.5,1794,3000,Stern trawl,Polar Ltd,Port Stanley,trawler
2013-2014,Robin M Lee,United Kingdom,ZDLF2,8718465,60,70,1386,2208,Stern pelagic trawl,Nova Seafish Ltd,Port Stanley,trawler
2013-2014,Sil,United Kingdom,ZDLR1,8521347,60,78.5,2156,2834,Stern pelagic trawl,Polar Ltd,Port Stanley,trawler
2013-2014,Tronio,United Kingdom,ZDLS2,9361603,40,55,1058,1378.7,Stern pelagic trawl,Pesquerias Arnela S.L.,,trawler
