raw_registered_gear_type,gfw_gear,gfw_sub_gear
Longline Tuna,drifting_longlines,drifting_longlines
Purse Seine Big Pelagics with one boat,purse_seines,purse_seines
Purse Seine Small Pelagics,purse_seines,purse_seines
Stick-Held lift net,other_fishing,lift_net
Shrimp net,other_fishing,shrimp_net
Transporter,fish_carrier,fish_carrier
Fish net/dragnet,other_fishing,dragnet
Oceanic gillnet,other_fishing,oceanic_gillnets
Pole-and-line,pole_and_line,pole_and_line
Purse Seine Group (2 boat) Small Pelagics,purse_seines,purse_seines
Basic longline,drifting_longlines,drifting_longlines
Squid hooking,squid_jigger,squid_jigger
Anchored gillnets,fixed_gear,set_gillnets
Hand Line Tuna,pole_and_line,pole_and_line
