mmsi,sub_label,label,length,tonnage,engine_power,crew_size,source
416234600,drifting_longlines,drifting_longlines,74.55,,,,https://www.npfc.int/vessel_list/zi-da-ye
431500360,drifting_longlines,drifting_longlines,16.64,,736,9,https://www.wcpfc.int/node/13666
431700454,drifting_longlines,drifting_longlines,17.59,,610,7,https://www.npfc.int/vessel_list/genei-maru-no78
431601326,drifting_longlines,drifting_longlines,14.96,,670,7,https://www.wcpfc.int/node/13555
367516940,drifting_longlines,drifting_longlines,20.8,,,6,https://www.wcpfc.int/node/17123
412330931,drifting_longlines,drifting_longlines,,1366,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412331053,drifting_longlines,drifting_longlines,,1419,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412331139,drifting_longlines,drifting_longlines,,1300,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412420624,drifting_longlines,drifting_longlines,,955,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412420652,drifting_longlines,drifting_longlines,,732,,,https://www.sprfmo.int/assets/01-Commission-2017/COMM5-INF04-SPRFMO-List-of-Authorised-and-Active-vessels.pdf
412440558,drifting_longlines,drifting_longlines,48.21,597,,,https://www.iccat.int/en/VesselsRecordRes.asp?cajaRecord=checkbox&cajaFlag=checkbox&cajaFlag2=checkbox&textVessel=Fu+Yuan&cajaIRCS=checkbox&cajaRegistry=checkbox&cajaSN=checkbox&cajaVesstype=checkbox&selectOrder=1&selectOrder2=7&selectInterval=25&Submit=Search
412440559,drifting_longlines,drifting_longlines,48.21,597,,,https://www.iccat.int/en/VesselsRecordRes.asp?cajaRecord=checkbox&cajaFlag=checkbox&cajaFlag2=checkbox&textVessel=Fu+Yuan&cajaIRCS=checkbox&cajaRegistry=checkbox&cajaSN=checkbox&cajaVesstype=checkbox&selectOrder=1&selectOrder2=7&selectInterval=25&Submit=Search
412440561,drifting_longlines,drifting_longlines,49.39,615,,,https://www.iccat.int/en/VesselsRecordRes.asp?cajaRecord=checkbox&cajaFlag=checkbox&cajaFlag2=checkbox&textVessel=Fu+Yuan&cajaIRCS=checkbox&cajaRegistry=checkbox&cajaSN=checkbox&cajaVesstype=checkbox&selectOrder=1&selectOrder2=7&selectInterval=25&Submit=Search
