mmsi,known_type
81560016,gear/buoy
81560017,gear/buoy
81560018,gear/buoy
81560019,gear/buoy
81560029,gear/buoy
81560249,gear/buoy
81560250,gear/buoy
81560402,gear/buoy
81560403,gear/buoy
81560404,gear/buoy
81560407,gear/buoy
81560410,gear/buoy
81560422,gear/buoy
81560428,gear/buoy
81560429,gear/buoy
81560430,gear/buoy
81560517,gear/buoy
100900000,gear/buoy
101101001,gear/buoy
120605480,gear/buoy
201509002,gear/buoy
201510001,gear/buoy
201510003,gear/buoy
201510007,gear/buoy
201605027,gear/buoy
205703000,tanker
211724500,dredge
212688000,research
212688000,Seismic Vessel
218762000,patrol vessel
224495000,patrol vessel
224900000,drifting_longliner
242502300,patrol vessel
244030073,trawler
247329600,patrol vessel
251001000,patrol vessel
258139000,trawler
259236000,drifting_longliner
263551000,drifting_longliner
263670490,patrol vessel
273354130,bottom_longlines
273380240,trawler
273422600,research
273431690,bottom_longlines
273451700,research
275429000,patrol vessel
312280000,fish_factory
338298000,purse_seines
345020031,research
345980073,passenger
366270000,purse_seines
366878000,purse_seines
367806000,patrol vessel
368000002,gear/buoy
368000003,gear/buoy
372423000,supply vessel
412331018,drifting_longliner
413201110,drifting_longliner
416000002,unknown
416001900,fish_carrier
416004693,squid_jigger
416004728,purse_seines
416004853,squid_jigger | lighting seine
416046500,squid_jigger
416222700,drifting_longliner
416237500,purse_seines
416242900,purse_seines
416243600,purse_seines
416243700,purse_seines
416248500,squid_jigger
416248500,squid_jigger
416342000,drifting_longliner
416836000,purse_seines
431000672,drifting_longliner
431005919,driftnets
431078000,patrol vessel
431267000,squid_jigger
431500330,drifting_longliner
431501733,drifting_longliner
431560000,research
431600276,drifting_longliner
431601383,drifting_longliner
431601398,drifting_longliner
431601620,drifting_longliner
431601932,drifting_longliner
431603370,drifting_longliner
431673000,research
431704470,squid_jigger
431726000,research
431757000,research
431799000,trawler
431800050,research
431800056,patrol vessel
432288000,research
432846000,research
440089000,drifting_longliner
440287000,cargo
440297000,squid_jigger
440604000,drifting_longliner
440646000,drifting_longliner
440755000,set_longlines
440788000,drifting_longliner
440818000,squid_jigger
440854000,set_longlines
440900000,drifting_longliner
440929000,tanker
440929000,tanker
441723000,reefer
441869000,drifting_longliner
470450000,tug_tender
503419200,tug
518809000,dive vessel
525005014,passenger
548939000,purse_seines
576732000,reefer
576850000,drifting_longliner
657127400,passenger
657127400,passenger
664000022,drifting_longliner
664000023,drifting_longliner
664067000,drifting_longliner
664070000,drifting_longliner
664099000,drifting_longliner
664628000,drifting_longliner
664631000,drifting_longliner
725000332,purse_seines
725000335,purse_seines
725000410,purse_seines
725000910,purse_seines
725001217,patrol vessel
725001217,patrol vessel
730151061,submarine
730152340,patrol vessel
760000650,tanker
431494000,research
