found_flag,year,mmsi,flag_country_name,flag_iso3,shipname,callsign,imo,known_label,inferred_label,inferred_label_allyears,known_length,ais_length,inferred_length,known_tonnage,inferred_tonnage,known_engine_power,inferred_engine_power,active_positions,active_hours,gap_hours,active_days,fraction_time_high_seas,frac_fishing_high_seas,eez_first,frac_in_eez_first,eez_second,frac_in_eez_second,is_high_seas
,2013,333,Invalid MMSI,NA,NA,NA,NA,NA,tug,trawlers,NA,NA,27.60922527,NA,161.6511395,NA,432.5400847,5672,2542.492778,146.0111111,167,0.724439084,0.89989152,NA,NA,NA,NA,TRUE
Taiwan,2014,416,Invalid MMSI,NA,NENG-SHENG-CAI 2,NA,NA,NA,NA,fixed_gear,52.65,NA,18.86053916,496,39.96060937,825,350.0850841,1259,363.0975,299.0947222,70,0.097863476,0.120573145,Conflict zone Japan/Russia,0.257082537,Taiwan,0.120772187,TRUE
China,2014,7396,Invalid MMSI,NA,HUA NAN YU 731,NA,NA,NA,NA,drifting_longlines,NA,42,42.55959315,NA,416.1733138,NA,934.674467,2028,791.0238889,12211.99667,53,0.911483059,0.993018931,NA,NA,NA,NA,TRUE
,2013,7396,Invalid MMSI,NA,HUA NAN YU 731,NA,NA,NA,NA,drifting_longlines,NA,42,42.55959315,NA,416.1733138,NA,934.674467,12137,2796.9,109.0111111,192,0.650583146,0.94287535,NA,NA,NA,NA,TRUE
,2013,55989,Invalid MMSI,NA,AISB,NA,NA,NA,drifting_longlines,drifting_longlines,NA,NA,32.61162433,NA,252.0940661,NA,725.2776072,74,14.09861111,4581.382222,9,0.584521055,1,NA,1,NA,NA,TRUE
China,2015,55997,Invalid MMSI,NA,HUA NAN YU 732,NA,NA,NA,NA,drifting_longlines,NA,42,38.56619168,NA,271.6907992,NA,707.2534519,3217,4327.218611,996.8161111,289,0.097821574,0.059984247,Cook Islands,0.066321175,American Samoa,0.643797117,TRUE
China,2014,55997,Invalid MMSI,NA,HUA NAN YU 732,NA,NA,NA,NA,drifting_longlines,NA,42,38.56619168,NA,271.6907992,NA,707.2534519,23740,4865.086944,NA,276,0.257722327,0.277051407,Cook Islands,0.07225972,American Samoa,0.922492282,TRUE
,2013,55997,Invalid MMSI,NA,HUA NAN YU 732,NA,NA,NA,NA,drifting_longlines,NA,42,38.56619168,NA,271.6907992,NA,707.2534519,14176,3019.492778,705.9786111,187,0.326269927,0.444094822,NA,NA,NA,NA,TRUE
,2015,69645,Invalid MMSI,NA,AIWEI-B,NA,NA,NA,NA,drifting_longlines,NA,NA,33.16394336,NA,180.5020047,NA,726.9556078,7800,2017.603333,632.9219444,194,0.157062541,0.110270291,Federated States of Micronesia,0.128039895,Cook Islands,0.275150574,TRUE
,2016,69663,Invalid MMSI,NA,HNY738,BZXD37,NA,NA,drifting_longlines,drifting_longlines,NA,42,32.79491316,NA,184.1821771,NA,652.8011695,10171,1042.895,NA,62,0.38945265,0.324792714,Federated States of Micronesia,0.690419988,NA,0.309580012,TRUE
,2015,69663,Invalid MMSI,NA,AIWEI-B,NA,NA,NA,drifting_longlines,drifting_longlines,NA,42,32.79491316,NA,184.1821771,NA,652.8011695,8941,2975.389444,2219.886111,270,0.121882282,0.052316694,American Samoa,3.61E-04,Federated States of Micronesia,0.176884146,TRUE
