gear,fishing_methods,sublabel,label
Handliner,Handlines and pole-lines (hand operated),pole_and_line,other_fishing
Longliner,Drifting longlines,drifting_longlines,drifting_longlines
Tuna longliner,Drifting longlines,drifting_longlines,drifting_longlines
Purse seiner,With purse lines (purse seine),purse_seines,purse_seines
GILLNETTER,"Gillnets (not specified), Handlines and pole-lines (hand operated)",set_gillnets,fixed_gear
Pole and line,Handlines and pole-lines (hand operated),pole_and_line,other_fishing
Longliner,NA,drifting_longlines,drifting_longlines
Multipurpose vessel nei,Hooks and lines (not specified),,
Jigging Line,Hooks and lines (not specified),,
Troller,Hooks and lines (not specified),trollers,other_fishing
Handliner,Hooks and lines (not specified),pole_and_line,pole_and_line
Tuna longliner,NA,drifting_longlines,drifting_longlines
Longliner,Longlines (not specified),drifting_longlines,drifting_longlines
Purse seiner,NA,,purse_seines
Tuna longliner,Longlines (not specified),drifting_longlines,drifting_longlines
Tuna purse seiner,NA,purse_seines,purse_seines
SEINER,NA,purse_seines,purse_seines
Purse seiner,Seine nets (not specified),purse_seines,purse_seines
LIFT NETTER,NA,,
Purse seiner,"Longlines (not specified), Boat or vessel seines",purse_seines,purse_seines
Purse seiner,Boat or vessel seines,purse_seines,purse_seines
Tuna purse seiner,With purse lines (purse seine),purse_seines,purse_seines
Tuna purse seiner,"One boat operated purse seines, With purse lines (purse seine)",purse_seines,purse_seines
Purse seiner,"With purse lines (purse seine), Boat or vessel seines",purse_seines,purse_seines
Purse seiner,Longlines (not specified),purse_seines,purse_seines
Tuna longliner,Lift nets (not specified),drifting_longlines,drifting_longlines
Tuna longliner,With purse lines (purse seine),drifting_longlines,drifting_longlines
Tuna purse seiner,One boat operated purse seines,purse_seines,purse_seines
Tuna purse seiner,Boat or vessel seines,purse_seines,purse_seines
Purse seiner,One boat operated purse seines,purse_seines,purse_seines
Pole and line,NA,pole_and_line,pole_and_line
Pole and line,"Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized)",pole_and_line,pole_and_line
Pole and line,"Handlines and pole-lines (mechanized), Handlines and pole-lines (hand operated)",pole_and_line,pole_and_line
Troller,Trolling lines,trollers,trollers
Support Vessel,NA,,
Pole and line,Drifting longlines,pole_and_line,pole_and_line
Pole and line,"Drifting longlines, Handlines and pole-lines (mechanized), Handlines and pole-lines (hand operated)",pole_and_line,pole_and_line
Pole and line,"Drifting longlines, Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized)",pole_and_line,pole_and_line
MULTIPURPOSE VESSEL,"One boat operated purse seines, Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized)",,
Purse seiner,Pair seines,purse_seines,purse_seines
Purse seiner,"One boat operated purse seines, With purse lines (purse seine)",purse_seines,purse_seines
Tuna mothership,With purse lines (purse seine),purse_seines,purse_seines
Tuna mothership,NA,,
Purse seiner,"Pair seines, With purse lines (purse seine)",purse_seines,purse_seines
Purse seiner,Two boats operated purse seines,purse_seines,purse_seines
Tuna purse seiner,Two boats operated purse seines,purse_seines,purse_seines
Tuna purse seiner,"With purse lines (purse seine), Two boats operated purse seines",purse_seines,purse_seines
Tuna purse seiner,"With purse lines (purse seine), One boat operated purse seines",purse_seines,purse_seines
Support Vessel,With purse lines (purse seine),purse_seines,purse_seines
Purse seiner,"One boat operated purse seines, Two boats operated purse seines",purse_seines,purse_seines
Purse seiner,"With purse lines (purse seine), Two boats operated purse seines",purse_seines,purse_seines
Purse seiner,"With purse lines (purse seine), One boat operated purse seines",purse_seines,purse_seines
Tuna longliner,"Drifting longlines, Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized), Harpoons, Trolling lines",drifting_longlines,drifting_longlines
Troller,"Handlines and pole-lines (hand operated), Trolling lines",trollers,trollers
Freezer Longliner,Drifting longlines,drifting_longlines,drifting_longlines
Pole and line,Trolling lines,pole_and_line,pole_and_line
Tuna longliner,"Drifting longlines, Miscellaneous gear",drifting_longlines,drifting_longlines
Tuna longliner,"Drifting longlines, Handlines and pole-lines (hand operated), Trolling lines",drifting_longlines,drifting_longlines
Longliner,"Drifting longlines, Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized), Trolling lines",drifting_longlines,drifting_longlines
Tuna longliner,"Drifting longlines, Trolling lines",drifting_longlines,drifting_longlines
Tuna longliner,"Drifting longlines, Handlines and pole-lines (hand operated), Handlines and pole-lines (mechanized), Trolling lines",drifting_longlines,drifting_longlines
Troller,"Drifting longlines, Trolling lines",trollers,trollers
Tuna longliner,"Drifting longlines, Harpoons, Trolling lines",drifting_longlines,drifting_longlines
Tuna longliner,"Drifting longlines, Handlines and pole-lines (hand operated)",drifting_longlines,drifting_longlines
Longliner,"Drifting longlines, Trolling lines",drifting_longlines,drifting_longlines
